tweet_id,favorite_count,text
1603118927755837441,20261,Solve rich people’s problems. They pay better.
2032784318389440926,16179,Customers become friends faster than friends become customers.
1938635998188962142,12494,The best way to make money is solve problems for people who have money.
1916201910001865022,9758,"Dear younger me: 

The less a customer pays, the more problems they cause."
1903884641028772105,9695,Either solve the problems of a few rich people or a lot of poor people. But don't get stuck in between trying to sell average products at average prices to average people. That's where businesses bleed and ambition goes to die.
1602708557652455425,8256,"If you solve rich people problems, you get to charge rich people prices."
1912858395482194063,6985,"To improve your product, talk to the people who bought. 
To improve your marketing, talk to the people who didn't."
1690396519319416832,6821,"If you treat your spouse like you’re still dating, you’ll stay married.

If you treat your customers like prospects, they’ll keep coming back.

There’s no way around it.

The moment you take things like you can never lose them, is the moment you do."
1921691830908822013,6811,The easiest way to make more money is to solve expensive problems for people who can afford to pay them.
1691941694436999214,6490,"Either solve the problems of a few rich people or a lot of poor people. 

But don’t get stuck in between."
1903528149880856955,6460,"If your business isn't making $100,000 a month. 
Follow these 2 steps. 
1) Grab a kitchen timer & turn it to 4 hours.
2) Advertise until the timer is up.

You can do warm outbound, cold outbound, content, or paid ads. Don’t do all of them. Just pick 1 until you get to $100k a month. I would start with outbound or content because they’re the cheapest to get started (aka free).

When the 4-hour timer is up, and the day is done - do it again tomorrow."
1734939388382261734,6384,"Hot take:

Real friends don’t ask for ‘friend discounts.’

They pay full price and leave a review."
1602771635097870336,6374,Solve the problems of the rich and they will make you one of them.
1859222722594705747,6269,"If you invest $10k into crypto, it’ll likely become $0. But, you’ve got a shot at it becoming $100k.

If you invest $10k into learning to advertise & sell, it’ll become $0. But then you’ll be able to advertise & sell and make $10k every month after

You are the asset to invest in"
1904649536955425142,5984,"Business strategies that actually work:
1) Be significantly faster than everything else
2) Be significantly easier than everything else
3) Be significantly better than everything else
4) Be significantly cheaper than everyone else
5) Be more reliable than everyone else.
Pick one."
1904840807464513637,5872,"Controversial take:

You will get more views, followers, and influence by not making content for years and using the extra time to accomplish something epic. Then, make your content."
1776971683615932619,5503,"If you solve rich people problems, you get to charge rich people prices."
1917909419926364268,5484,"The fastest way to make more money is take what you’re already good at, and do it for people who have more money.

Rich people pay more for the same stuff."
1717738919511667004,4871,"If you treat your spouse like youre still dating, youll stay married. 

If you treat your customers like prospects, they’ll keep coming back. 

If you treat your employees like recruiting candidates, theyll keep working for you. 

You lose people the moment you act like you cant."
1753186626052956176,4856,"To protect your reputation, no matter what they say:

Don’t respond to people smaller than you."
1708897250624069688,4851,"One of the hardest business lessons I’ve had to learn is: you don’t try to get bigger.

Instead, you try and get better. 

The better you get, the bigger your customers will demand you become. 

Quality creates demand. 
Demand creates growth.

Not the other way around."
2036896225509974257,4737,"How to beat a bigger competitor: 
Talk to customers more than they do.

He who is closest to the customer wins."
1723475660684063068,4720,"Rogan talks about aliens, comedy, fighting, politics, bio-hacking. 

The Rock has WWE, movies, football, fitness, tequila. 

I like business, philosophy, fitness, comedy, & utilitarianism.

You don’t pick your niche. 
You are your niche.

Whats yours?"
1915527463607685280,4461,"The fastest way to get rich is to get really good at one thing.

The fastest way to stay rich is to keep charging more and more for doing it."
1694397906151727599,4429,"To take over a market:

Make it better. 

Make it free. 

(Then, monetize another way.)"
1938225783761232106,4332,"Every 23 year old wants to start a personal brand.

What everyone forgets is the ‘personal’ part - not making videos or posting, but having real skills, accomplishments or opinions worth watching in first place.

If you want an epic personal brand, do epic shit first."
1901732851495678090,4278,"Your first 100 posts are gonna suck.

Post them anyways."
